date,y,yhat_lstm,yhat_lstm_0,yhat_lstm_1,predict,predicttrue
2016/9/23,0.295217691,0,0.218418077,0.781581938,0.147608846,1
2016/9/26,0.167281712,0,0.165096179,0.834903836,0.083640856,1
2016/9/27,0.206530365,0,0.183521345,0.81647867,0.103265183,1
2016/9/28,0.206479597,0,0.38506633,0.61493361,0.103239799,1
2016/9/29,0.260448807,0,0.287993461,0.712006569,0.130224404,1
2016/9/30,0.216258808,0,0.000125045,0.999874949,0.108129404,1
2016/10/10,0.334004928,0,0.002253029,0.997747004,0.167002464,1
2016/10/11,0.313864217,0,0.029270833,0.970729232,0.156932109,1
2016/10/12,0.343322717,0,0.002883237,0.997116804,0.171661359,1
2016/10/13,0.206256519,0,0.005376749,0.994623303,0.10312826,1
2016/10/14,0.054020873,0,0.001754033,0.998245955,0.027010437,1
2016/10/17,-0.117936132,0,0.036749206,0.963250756,-0.058968066,0
2016/10/18,0,0,0.008447488,0.991552532,0,0
2016/10/19,0.0441772,0,0.002637028,0.997363031,0.0220886,1
2016/10/20,-0.255315109,0,0.039790574,0.96020937,-0.127657555,0
2016/10/21,-0.3531666,-1,0.729259431,0.270740509,0.1765833,1
2016/10/24,-0.289293884,-1,0.796034753,0.203965202,0.144646942,1
2016/10/25,-0.009812098,0,0.185799152,0.814200878,-0.004906049,0
2016/10/26,0.063805249,-1,0.578564942,0.421435058,-0.031902625,0
2016/10/27,0.07863954,-1,0.708542228,0.291457742,-0.03931977,0
2016/10/28,-0.108028491,0,0.245226234,0.754773796,-0.054014246,0
2016/10/31,-0.122762666,-1,0.658097506,0.341902584,0.061381333,1
2016/11/1,-0.11805796,-1,0.775883853,0.224116087,0.05902898,1
2016/11/2,-0.167207671,-1,0.534873605,0.465126395,0.083603836,1
2016/11/3,-0.314759518,0,0.494876146,0.505123794,-0.157379759,0
2016/11/4,-0.334185489,-1,0.821008623,0.178991333,0.167092745,1
2016/11/7,-0.398220826,-1,0.919070065,0.080929875,0.199110413,1
2016/11/8,-0.457959683,-1,0.899430692,0.100569285,0.228979842,1
2016/11/9,-0.536960329,-1,0.85724622,0.14275378,0.268480165,1
2016/11/10,-0.47281412,-1,0.589739799,0.410260201,0.23640706,1
